Image,Path,Subject,Distance,Focal
S5d05f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i0.png,5,0.5,27
S5d05f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i1.png,5,0.5,27
S5d05f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i2.png,5,0.5,27
S5d05f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i3.png,5,0.5,27
S5d05f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i4.png,5,0.5,27
S5d05f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i5.png,5,0.5,27
S5d05f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i6.png,5,0.5,27
S5d05f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i7.png,5,0.5,27
S5d05f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i8.png,5,0.5,27
S5d05f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i9.png,5,0.5,27
S5d05f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i10.png,5,0.5,27
S5d05f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i11.png,5,0.5,27
S5d05f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i12.png,5,0.5,27
S5d05f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d05/f27/S5d05f27_i13.png,5,0.5,27
S5d07f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i0.png,5,0.7,27
S5d07f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i1.png,5,0.7,27
S5d07f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i2.png,5,0.7,27
S5d07f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i3.png,5,0.7,27
S5d07f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i4.png,5,0.7,27
S5d07f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i5.png,5,0.7,27
S5d07f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i6.png,5,0.7,27
S5d07f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i7.png,5,0.7,27
S5d07f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i8.png,5,0.7,27
S5d07f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i9.png,5,0.7,27
S5d07f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i10.png,5,0.7,27
S5d07f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i11.png,5,0.7,27
S5d07f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i12.png,5,0.7,27
S5d07f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d07/f27/S5d07f27_i13.png,5,0.7,27
S5d09f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i0.png,5,0.9,27
S5d09f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i1.png,5,0.9,27
S5d09f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i2.png,5,0.9,27
S5d09f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i3.png,5,0.9,27
S5d09f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i4.png,5,0.9,27
S5d09f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i5.png,5,0.9,27
S5d09f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i6.png,5,0.9,27
S5d09f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i7.png,5,0.9,27
S5d09f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i8.png,5,0.9,27
S5d09f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i9.png,5,0.9,27
S5d09f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i10.png,5,0.9,27
S5d09f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i11.png,5,0.9,27
