train images: 2956 val images: 739
Using GPU
Starting training
Finished training
En 10 épocas:

Profiler ordenado por mayor uso de CPU:
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        68.47%      159.286s        68.50%      159.366s     131.166ms       0.000us         0.00%     109.779ms      90.353us          1215  
                                  cudaStreamSynchronize        16.76%       38.988s        16.76%       38.990s     508.370us        5.132s         4.40%        5.136s      66.961us         76696  
                                  cudaStreamIsCapturing         2.28%        5.296s         2.28%        5.296s     319.816us     950.126ms         0.81%     950.126ms      57.382us         16558  
                                        cudaMemcpyAsync         2.18%        5.066s         2.18%        5.066s      66.022us        4.599s         3.94%        4.599s      59.942us         76728  
                                       cudaLaunchKernel         1.89%        4.392s         1.89%        4.392s      24.776us       10.964s         9.40%       10.967s      61.869us        177266  
                                               cudaFree         1.41%        3.282s         1.42%        3.308s      30.070ms       4.737ms         0.00%       4.737ms      43.064us           110  
                                aten::cudnn_convolution         1.37%        3.181s         4.68%       10.885s     701.274us       56.532s        48.46%       67.312s       4.337ms         15522  
                                         aten::uniform_         1.00%        2.333s         1.00%        2.333s      61.384ms       0.000us         0.00%       0.000us       0.000us            38  
                                   DataParallel.forward         0.81%        1.889s         6.94%       16.136s      13.514ms       0.000us         0.00%      104.262s      87.322ms          1194  
                                  cudaDeviceSynchronize         0.37%     851.308ms         0.37%     851.308ms       2.857ms      35.872ms         0.03%      35.872ms     120.376us           298  
                              cudaStreamCreateWithFlags         0.24%     548.805ms         0.29%     669.708ms      41.857ms       3.000us         0.00%       3.000us       0.188us            16  
                               Optimizer.step#Adam.step         0.21%     488.304ms         0.77%        1.782s       1.916ms       0.000us         0.00%       23.721s      25.507ms           930  
                                             aten::add_         0.20%     474.309ms         0.34%     787.118ms      35.308us       11.690s        10.02%       12.707s     570.003us         22293  
                                             cudaMalloc         0.18%     409.226ms         0.18%     409.265ms       3.528ms       9.107ms         0.01%       9.107ms      78.509us           116  
                                            aten::addmm         0.16%     365.837ms         0.24%     552.774ms     154.320us        7.410s         6.35%        8.832s       2.466ms          3582  
                                       aten::clamp_min_         0.14%     327.471ms         0.26%     614.472ms      34.309us        9.449s         8.10%       10.539s     588.420us         17910  
                                     aten::_convolution         0.12%     274.780ms         5.13%       11.925s     768.239us       0.000us         0.00%       79.930s       5.149ms         15522  
                                            aten::copy_         0.10%     230.709ms        18.77%       43.658s       3.969ms        4.675s         4.01%        5.149s     468.126us         11000  
                          aten::max_pool2d_with_indices         0.10%     227.031ms         0.14%     321.083ms      53.783us        4.143s         3.55%        4.522s     757.519us          5970  
